5.957435939500000206e-15 5.072771839113064456e-10 5.495960822441023284e-13 6.737359085797255102e+04
6.583984946634096222e-15 5.490451894607029096e-10 5.948485259595915002e-13 6.598162515429352061e+04
7.276428688067858001e-15 5.942522739651641647e-10 6.438269490413480061e-13 6.461841802642360562e+04
8.041697373503946767e-15 6.431816030655592046e-10 6.968381398326751996e-13 6.328337531052640406e+04
8.887450069161894129e-15 6.961396575930193669e-10 7.542141469046796938e-13 6.197591511843133776e+04
9.822151352287141485e-15 7.534581532866545446e-10 8.163143589237860767e-13 6.069546758401335683e+04
1.085515602748515895e-14 8.154961185762911716e-10 8.835277557706296397e-13 5.944147461481258506e+04
1.199680275275019070e-14 8.826421434449367466e-10 9.562753450107656056e-13 5.821338964878566912e+04
1.325851751222940334e-14 9.553168134572673606e-10 1.035012798978621220e-12 5.701067741608264623e+04
1.465292797131264326e-14 1.033975344200275193e-09 1.120233308992714275e-12 5.583281370574572065e+04
1.619398985855195382e-14 1.119110432637539135e-09 1.212470674580215703e-12 5.467928513722799107e+04
1.789712663928361451e-14 1.211255343237271350e-09 1.312302647060965777e-12 5.354958893663279741e+04
1.977938387885322900e-14 1.310987248204861724e-09 1.420354548434303108e-12 5.244323271757607290e+04
2.185959984036292068e-14 1.418930842742284262e-09 1.537303188236494420e-12 5.135973426657605887e+04
2.415859402434020427e-14 1.535762257979423186e-09 1.663881102902950377e-12 5.029862133287703909e+04
2.669937553729695351e-14 1.662213296086928443e-09 1.800881144189521641e-12 4.925943142261538742e+04
2.950737337460100586e-14 1.799076014098265068e-09 1.949161445393569883e-12 4.824171159723822348e+04
3.261069092240875958e-14 1.947207685152839678e-09 2.109650796481949620e-12 4.724501827608681197e+04
3.604038722579973061e-14 2.107536168236182558e-09 2.283354461794347195e-12 4.626891704305868188e+04
3.983078783813898493e-14 2.281065720051845017e-09 2.471360476762562300e-12 4.531298245726414461e+04
4.401982836275246580e-14 2.468883285429120117e-09 2.674846463086803901e-12 4.437679786759482522e+04
4.864943412519564048e-14 2.672165305668064935e-09 2.895087005057491944e-12 4.345995523112315277e+04
5.376593977600328651e-14 2.892185087467596030e-09 3.133461633225997756e-12 4.256205493525389466e+04
5.942055302344561092e-14 3.130320778593705445e-09 3.391463465431966874e-12 4.168270562355004949e+04
6.566986713748418494e-14 3.388064000245382318e-09 3.670708559312440319e-12 4.082152402515727590e+04
7.257642735423930018e-14 3.667029190189148715e-09 3.972946034874483584e-12 3.997813478775250405e+04
8.020935684973530284e-14 3.968963715185240913e-09 4.300069030536555832e-12 3.915217031394380319e+04
8.864504854787933649e-14 4.295758816047083121e-09 4.654126561264445121e-12 3.834327060105044075e+04
9.796792968652029987e-14 4.649461453891112027e-09 5.037336353078128017e-12 3.755108308419301466e+04
1.082713067936222745e-13 5.032287131778842018e-09 5.452098734321605995e-12 3.677526248262548324e+04
1.196582995303578020e-13 5.446633772062667792e-09 5.901011670707115458e-12 3.601547064924200095e+04
1.322428727473365676e-13 5.895096736359549583e-09 6.386887038309371155e-12 3.527137642319303995e+04
1.461509770831351935e-13 6.380485082233863449e-09 6.912768236439721698e-12 3.454265548554649286e+04
1.615218095206216903e-13 6.905839158417142531e-09 7.481949250722797945e-12 3.382899021793087741e+04
1.785092065171456225e-13 7.474449648776654328e-09 8.097995285781856741e-12 3.313006956409905251e+04
1.972831836515094751e-13 8.089878184319394413e-09 8.764765096770741840e-12 3.244558889435205492e+04
2.180316371970256299e-13 8.755979652339816106e-09 9.486435159631437146e-12 3.177524987276401225e+04
2.409622246505736831e-13 9.476926342450105769e-09 1.026752583147356999e-11 3.111876032715024849e+04
2.663044430386253565e-13 1.025723408073757475e-08 1.111292966493778385e-11 3.047583412172188400e+04
2.943119258006220116e-13 1.110179051574688857e-08 1.202794205389695340e-11 2.984619103237143281e+04
3.252649812376857598e-13 1.201588573346323747e-08 1.301829440245204442e-11 2.922955662453511104e+04
3.594733979323119869e-13 1.300524539306098876e-08 1.409019002498482053e-11 2.862566213357847300e+04
3.972795452166264041e-13 1.407606659097158947e-08 1.525034300213606785e-11 2.803424434765339902e+04
4.390617997197353941e-13 1.523505667791419193e-08 1.650602023609338272e-11 2.745504549297527410e+04
4.852383322882067928e-13 1.648947527202887493e-08 1.786508696861199799e-11 2.688781312147038261e+04
5.362712931804543773e-13 1.784717973127208945e-08 1.933605604688200493e-11 2.633230000074456257e+04
5.926714374218584526e-13 1.931667436990178169e-08 2.092814124583074843e-11 2.578826400632516379e+04
6.550032366127299331e-13 2.090716372733164632e-08 2.265131498085768717e-11 2.525546801612930358e+04
7.238905283498124436e-13 2.262861022301710968e-08 2.451637077249957772e-11 2.473367980711247583e+04
8.000227598026289865e-13 2.449179655850847809e-08 2.653499085428871003e-11 2.422267195405243547e+04
8.841618879324860316e-13 2.650839325754177488e-08 2.871981934728253026e-11 2.372222173042422219e+04
9.771500054138449373e-13 2.869103176722123330e-08 3.108454145961130272e-11 2.323211101132319891e+04
1.079917768580844625e-12 3.105338357818048096e-08 3.364396920712944710e-11 2.275212617839368613e+04
1.193493711748698385e-12 3.361024585931103712e-08 3.641413419210296693e-11 2.228205802672186110e+04
1.319014541130823314e-12 3.637763414345216888e-08 3.941238802107493824e-11 2.182170167365222369e+04
1.457736511376683086e-12 3.937288264460148951e-08 4.265751099090085395e-11 2.137085646948801514e+04
1.611047998590562939e-12 4.261475283500798624e-08 4.616982972373562699e-11 2.092932591003656125e+04
1.780483395666269551e-12 4.612355096224632782e-08 4.997134448780750678e-11 2.049691755096149427e+04
